1;type;title;director;date_added
1868;Movie;The Legend of Bhagat Singh;Rajkumar Santoshi;October 12, 2020
1869;Movie;House of the Witch;Alex Merkin;October 11, 2020
1870;TV Show;Deaf U;;October 9, 2020
1871;Movie;Ginny Weds Sunny;Puneet Khanna;October 9, 2020
1872;Movie;My Step Dad: The Hippie;Meltem Bozoflu;October 9, 2020
1873;Movie;Super Monsters: Dia de los Monsters;;October 9, 2020
1874;Movie;The Forty-Year-Old Version;Radha Blank;October 9, 2020
1875;TV Show;The Haunting of Bly Manor;;October 9, 2020
1876;Movie;Bigflo & Oli: Hip Hop Frenzy;Bigflo & Oli, Jérémie Levypon;October 8, 2020
1877;TV Show;Do Do Sol Sol La La Sol;;October 8, 2020
1878;Movie;Palermo Hollywood;Eduardo Pinto;October 8, 2020
1879;TV Show;Private Lives;;October 8, 2020
1880;TV Show;The 100;;October 8, 2020
1881;Movie;Hubie Halloween;Steve Brill;October 7, 2020
1882;TV Show;To the Lake;Pavel Kostomarov;October 7, 2020
1883;Movie;American Pie 9: Girls' Rules;Mike Elliott;October 6, 2020
1884;Movie;Dolly Parton: Here I Am;Francis Whately;October 6, 2020
1885;Movie;StarBeam: Halloween Hero;Jon Izen;October 6, 2020
1886;Movie;Walk Away from Love;Christopher Nolen;October 6, 2020
1887;TV Show;Bad Boy Billionaires: India;;October 5, 2020
1888;Movie;David Attenborough: A Life on Our Planet;Alastair Fothergill, Jonnie Hughes, Keith Scholey;October 4, 2020
1889;Movie;Best Wishes, Warmest Regards: A Schitt's Creek Farewell;Amy Segal;October 3, 2020
1890;Movie;Good Game: The Beginning;Umut Aral;October 3, 2020
1891;TV Show;Pat a Pat Como;;October 3, 2020
1892;TV Show;Qurious Como;;October 3, 2020
1893;Movie;A Chaster Marriage;Umut Kirca;October 2, 2020
1894;Movie;A Go! Go! Cory Carson Halloween;Alex Woo, Stanley Moore;October 2, 2020
1895;TV Show;DreamWorks Happy Holidays from Madagascar;;October 2, 2020
1896;TV Show;Emily in Paris;;October 2, 2020
1897;TV Show;H2O: Just Add Water;;October 2, 2020
1898;Movie;Òlòtūré;Kenneth Gyang;October 2, 2020
1899;Movie;Serious Men;Sudhir Mishra;October 2, 2020
1900;Movie;The Binding;Domenico de Feudis;October 2, 2020
1901;Movie;Turkish Dance School;Burak Aksak;October 2, 2020
1902;Movie;Vampires vs. the Bronx;Oz Rodriguez;October 2, 2020
1903;Movie;You've Got This;Salvador Espinosa;October 2, 2020
1904;Movie;All Because of You;Adrian Teh;October 1, 2020
1905;Movie;An Ordinary Man;Brad Silberling;October 1, 2020
1906;Movie;Carlos Almaraz: Playing with Fire;Elsa Flores Almaraz, Richard J Montoya;October 1, 2020
1907;Movie;Cold Harbour;Carey McKenzie;October 1, 2020
1908;TV Show;Evil;;October 1, 2020
1909;TV Show;Familiar Wife;;October 1, 2020
1910;TV Show;Food Wars!: Shokugeki no Soma;;October 1, 2020
1911;Movie;Free State of Jones;Gary Ross;October 1, 2020
1912;TV Show;Good Morning, Verônica;;October 1, 2020
1913;Movie;Human Nature;Adam Bolt;October 1, 2020
1914;Movie;Hunt for the Wilderpeople;Taika Waititi;October 1, 2020
1915;Movie;I'm Leaving Now;Lindsey Cordero, Armando Croda;October 1, 2020
1916;TV Show;Journey of an African Colony;;October 1, 2020
1917;TV Show;Oktoberfest: Beer & Blood;;October 1, 2020
1918;Movie;Rize;David LaChapelle;October 1, 2020
1919;TV Show;Secreto bien guardado;;October 1, 2020
1920;TV Show;Sword Art Online;;October 1, 2020
1921;Movie;The American Game;Mostafa Abu Seif;October 1, 2020
1922;Movie;The Book of Sun;Faris Godus;October 1, 2020
1923;Movie;The Outpost;Rod Lurie;October 1, 2020
1924;TV Show;The Parkers;;October 1, 2020
1925;TV Show;The Unicorn;;October 1, 2020
1926;Movie;We Have Always Lived in the Castle;Stacie Passon;October 1, 2020
1927;TV Show;You Cannot Hide;;October 1, 2020
1928;Movie;American Murder: The Family Next Door;Jenny Popplewell;September 30, 2020
1929;Movie;Baxu and the Giants;Florian Schott;September 30, 2020
1930;TV Show;Black Butler;;September 30, 2020
1931;TV Show;Man with a Plan;;September 30, 2020
1932;Movie;Poacher;Tom Whitworth;September 30, 2020
1933;Movie;The Boys in the Band;Joe Mantello;September 30, 2020
1934;Movie;The Boys in the Band: Something Personal;;September 30, 2020
1935;TV Show;Wentworth;;September 30, 2020
1936;Movie;Bully;Lee Hirsch;September 29, 2020
1937;Movie;Michelle Buteau: Welcome to Buteaupia;Page Hurwitz;September 29, 2020
1938;Movie;Welcome to Sudden Death;Dallas Jackson;September 29, 2020
1939;Movie;Amandla! A Revolution in Four Part Harmony;Lee Hirsch;September 28, 2020
1940;Movie;Ankhon Dekhi;Rajat Kapoor;September 28, 2020
1941;Movie;Dedh Ishqiya;Abhishek Chaubey;September 28, 2020
1942;Movie;Golmaal Returns;Rohit Shetty;September 28, 2020
1943;Movie;Ishq Vishk;Ken Ghosh;September 28, 2020
1944;Movie;Ishqiya;Abhishek Chaubey;September 28, 2020
1945;Movie;Jab We Met;Imtiaz Ali;September 28, 2020
1946;Movie;Mann;Indra Kumar;September 28, 2020
1947;Movie;Manorama Six Feet Under;Navdeep Singh;September 28, 2020
1948;Movie;Welcome;Anees Bazmee;September 28, 2020
1949;TV Show;Whose Vote Counts, Explained;;September 28, 2020
1950;TV Show;Van Helsing;;September 27, 2020
1951;TV Show;The Good Place;;September 26, 2020
1952;Movie;Time Out;Rikhil Bahadur;September 26, 2020
1953;TV Show;A Perfect Crime;;September 25, 2020
1954;TV Show;Mighty Little Bheem;;September 25, 2020
1955;Movie;My Mother's Wound;Ozan Açıktan;September 25, 2020
1956;TV Show;Sneakerheads;;September 25, 2020
1957;TV Show;The School Nurse Files;;September 25, 2020
1958;Movie;Zulu Man in Japan;;September 25, 2020
1959;Movie;Real Steel;Shawn Levy;September 24, 2020
1960;TV Show;The Chef Show;;September 24, 2020
1961;Movie;Enola Holmes;Harry Bradbeer;September 23, 2020
1962;Movie;Kiss the Ground;Joshua Tickell, Rebecca Harrell Tickell;September 22, 2020
1963;TV Show;The Playbook;;September 22, 2020
1964;Movie;A Love Song for Latasha;Sophia Nahli Allison;September 21, 2020
1965;Movie;DTC Yukemuri Junjo Hen From High & Low;Norihisa Hiranuma;September 20, 2020
1966;Movie;High & Low The Movie;Shigeaki Kubo;September 20, 2020
1967;Movie;High & Low The Movie 2 / End of Sky;Shigeaki Kubo, Tsuyoshi Nakakuki;September 20, 2020
1968;Movie;High & Low The Movie 3 / Final Mission;Shigeaki Kubo, Tsuyoshi Nakakuki;September 20, 2020
1969;Movie;High & Low The Red Rain;Yudai Yamaguchi;September 20, 2020
1970;Movie;High & Low The Worst;Shigeaki Kubo;September 20, 2020
1971;Movie;Road To High & Low;Shigeaki Kubo;September 20, 2020
1972;Movie;The Blue Elephant 2;Marwan Hamed;September 20, 2020
1973;Movie;Bhaji In Problem;Smeep Kang;September 19, 2020
1974;Movie;Black;Raja Chanda;September 19, 2020
1975;TV Show;Fukrey Boyzzz;;September 19, 2020
1976;Movie;Saheb Biwi Aur Gangster Returns;Tigmanshu Dhulia;September 19, 2020
1977;Movie;Santa Banta Pvt Ltd;Akashdeep;September 19, 2020
1978;Movie;The Royal Bengal Tiger;Rajesh Ganguly;September 19, 2020
1979;Movie;Dolly Kitty Aur Woh Chamakte Sitare;Alankrita Shrivastava;September 18, 2020
1980;TV Show;Ratched;;September 18, 2020
1981;TV Show;The American Barbecue Showdown;;September 18, 2020
1982;TV Show;The Blacklist;;September 18, 2020
1983;Movie;Whipped;Chandra Liow;September 18, 2020
1984;Movie;Anaamika;Sekhar Kammula;September 17, 2020
1985;TV Show;Dragon's Dogma;;September 17, 2020
1986;Movie;GIMS: On the Record;Florent Bodin;September 17, 2020
1987;Movie;Horrid Henry's Gross Day Out;Gary Andrews;September 17, 2020
1988;Movie;Nee Enge En Anbe;Sekhar Kammula;September 17, 2020
1989;Movie;Residue;Merawi Gerima;September 17, 2020
1990;TV Show;The Last Word;;September 17, 2020
1991;TV Show;Baby;;September 16, 2020
1992;TV Show;Challenger;;September 16, 2020
1993;TV Show;Criminal: UK;;September 16, 2020
1994;Movie;Dr Jason Leong Hashtag Blessed;Kubhaer T. Jethwani;September 16, 2020
1995;TV Show;Signs;;September 16, 2020
1996;TV Show;Sing On!;;September 16, 2020
1997;Movie;The Devil All The Time;Antonio Campos;September 16, 2020
1998;Movie;The Paramedic;Carles Torras;September 16, 2020
1999;Movie;The Take;James Watkins;September 16, 2020
2000;TV Show;Call the Midwife;Philippa Lowthorpe;September 15, 2020
2001;Movie;Hope Frozen: A Quest to Live Twice;Pailin Wedel;September 15, 2020
2002;Movie;Michael McIntyre: Showman;Chris Howe;September 15, 2020
2003;Movie;Raising Victor Vargas;Peter Sollett;September 15, 2020
2004;TV Show;Taco Chronicles;;September 15, 2020
2005;Movie;The Smurfs 2;Raja Gosnell;September 15, 2020
2006;Movie;Wish Upon a Unicorn;Steve Bencich;September 15, 2020
2007;Movie;Lara and the Beat;Tosin Coker;September 14, 2020
2008;TV Show;Buddi;;September 11, 2020
2009;Movie;Dad Wanted;Javier Colinas;September 11, 2020
2010;TV Show;Family Business;;September 11, 2020
2011;TV Show;Girlfriends;;September 11, 2020
2012;Movie;How to Train Your Dragon 2;Dean DeBlois;September 11, 2020
2013;Movie;Pets United;Reinhard Klooss;September 11, 2020
2014;TV Show;The Barrier;;September 11, 2020
2015;TV Show;The Duchess;;September 11, 2020
2016;Movie;Wonho Chung: Live in New York;Shaun Mir;September 11, 2020
2017;Movie;Aapla Manus;Satish Rajwade;September 10, 2020
2018;Movie;Ani... Dr. Kashinath Ghanekar;Abhijeet Deshpande;September 10, 2020
2019;Movie;Bhai: Vyakti Ki Valli - Poorvardha;Mahesh Manjrekar;September 10, 2020
2020;Movie;Bhai: Vyakti Ki Valli - Uttarardh;Mahesh Manjrekar;September 10, 2020
2021;Movie;Cycle;Prakash Kunte;September 10, 2020
2022;Movie;Dhh;Manish Saini;September 10, 2020
2023;TV Show;Greenleaf;;September 10, 2020
2024;TV Show;Julie and the Phantoms;Kenny Ortega;September 10, 2020
2025;Movie;Kaagar;Makarand Mane;September 10, 2020
2026;Movie;Night of Knots;Hakan Algül;September 10, 2020
2027;Movie;PhotoCopy;Vijay Maurya;September 10, 2020
2028;Movie;Poshter Girl;Sameer Patil;September 10, 2020
2029;Movie;Satria Heroes: Revenge of the Darkness;Kenzo Maihara, Amandha Wyanto;September 10, 2020
2030;Movie;Son Of Adam;Ahmed Nader Galal;September 10, 2020
2031;Movie;The Babysitter: Killer Queen;McG;September 10, 2020
2032;Movie;Cargo;Arati Kadav;September 9, 2020
2033;Movie;Cuties;Maïmouna Doucouré;September 9, 2020
2034;TV Show;Get Organized with The Home Edit;;September 9, 2020
2035;TV Show;La Línea: Shadow of Narco;Pepe Mora;September 9, 2020
2036;Movie;So Much Love to Give;Marcos Carnevale;September 9, 2020
2037;Movie;The Social Dilemma;Jeff Orlowski;September 9, 2020
2038;Movie;#Alive;Cho Il;September 8, 2020
2039;TV Show;Record of Youth;;September 8, 2020
2040;Movie;My Octopus Teacher;Pippa Ehrlich, James Reed;September 7, 2020
2041;Movie;Toll Booth;Tolga Karaçelik;September 7, 2020
2042;TV Show;Transformers: Cyberverse;;September 7, 2020
2043;Movie;"Waiting for ""Superman""";Davis Guggenheim;September 7, 2020
2044;TV Show;Cleverman;;September 5, 2020
2045;Movie;Villain;Philip Barantini;September 5, 2020
2046;TV Show;Away;;September 4, 2020
2047;Movie;I'm Thinking of Ending Things;Charlie Kaufman;September 4, 2020
2048;Movie;Kandasamys: The Wedding;Jayan Moodley;September 4, 2020
2049;TV Show;Spirit Riding Free: Riding Academy;;September 4, 2020
2050;Movie;The Lost Okoroshi;Abba T. Makama;September 4, 2020
2051;Movie;You're My Boss;Antoinette Jadaone;September 4, 2020
2052;Movie;Afonso Padilha: Classless;Junior Carelli, Rudge Campos;September 3, 2020
2053;Movie;Ave Maryam;Ertanto Robby Soediskam;September 3, 2020
2054;Movie;Love, Guaranteed;Mark Steven Johnson;September 3, 2020
2055;TV Show;Young Wallander;;September 3, 2020
2056;TV Show;Chef's Table: BBQ;;September 2, 2020
2057;Movie;Freaks – You're One of Us;Felix Binder;September 2, 2020
2058;Movie;Hotel for Dogs;Thor Freudenthal;September 2, 2020
2059;Movie;Sky Tour: The Movie;Nguyen Thanh Tung;September 2, 2020
2060;TV Show;The Witcher: A Look Inside the Episodes;;September 2, 2020
2061;Movie;Adrift;Baltasar Kormákur;September 1, 2020
2062;Movie;Always Be My Maybe;Dan Villegas;September 1, 2020
2063;Movie;Barbie Princess Adventure;Conrad Helten;September 1, 2020
2064;TV Show;Blue Exorcist;;September 1, 2020
2065;TV Show;Bookmarks;;September 1, 2020
2066;TV Show;Borgen;;September 1, 2020
2067;Movie;Children of the Sea;Ayumu Watanabe;September 1, 2020
2068;TV Show;Erased;;September 1, 2020
2069;Movie;Fate/Grand Order -First Order-;Hitoshi Namba;September 1, 2020
2070;TV Show;Felipe Esparza: Bad Decisions;;September 1, 2020
2071;TV Show;H;;September 1, 2020
2072;TV Show;Heidi;;September 1, 2020
2073;Movie;Puss in Boots;Chris Miller;September 1, 2020
2074;Movie;Sex Drive;Sean Anders;September 1, 2020
2075;TV Show;Sister, Sister;;September 1, 2020
2076;Movie;Soldier;Abbas Mustan;September 1, 2020
2077;Movie;Take the Ball, Pass the Ball;Duncan McMath;September 1, 2020
2078;Movie;The Boss Baby: Get That Baby!;Dan Forgione, Pete Jacobs, Matt Whitlock;September 1, 2020
2079;Movie;The Match;Francesco Carnesecchi;September 1, 2020
2080;TV Show;The Promised Neverland;;September 1, 2020
2081;Movie;The Smurfs;Raja Gosnell;September 1, 2020
2082;TV Show;Thomas and Friends;Greg Tiernan;September 1, 2020
2083;Movie;True: Friendship Day;Mark Thornton, Todd Kauffman;September 1, 2020
2084;Movie;Maniyarayile Ashokan;Shamzu Zayba;August 31, 2020
2085;Movie;The Debt Collector 2;Jesse V. Johnson;August 31, 2020
2086;Movie;All Together Now;Brett Haley;August 29, 2020
2087;TV Show;I AM A KILLER: RELEASED;;August 28, 2020
2088;TV Show;Masaba Masaba;;August 28, 2020
2089;Movie;Santana;Chris Roland, Maradona Dias Dos Santos;August 28, 2020
2090;Movie;Unknown Origins;David Galán Galindo;August 28, 2020
2091;TV Show;Aggretsuko;;August 27, 2020
2092;Movie;Edge of Seventeen;David Moreton;August 27, 2020
2093;Movie;The Bridge Curse;Lester Hsi;August 27, 2020
2094;Movie;The Young Messiah;Cyrus Nowrasteh;August 27, 2020
2095;TV Show;Her Mother's Killer;;August 26, 2020
2096;Movie;Lingua Franca;Isabel Sandoval;August 26, 2020
2097;Movie;Making The Witcher;Nathan Wiley;August 26, 2020
2098;TV Show;Million Dollar Beach House;;August 26, 2020
2099;Movie;Rising Phoenix;;August 26, 2020
2100;TV Show;Emily's Wonder Lab;;August 25, 2020
2101;TV Show;Trinkets;;August 25, 2020
2102;Movie;Septembers of Shiraz;Wayne Blair;August 24, 2020
2103;TV Show;Baewatch: Parental Guidance;;August 22, 2020
2104;TV Show;Ojos in d' House;;August 22, 2020
2105;Movie;Class of '83;Atul Sabharwal;August 21, 2020
2106;Movie;Dark Forces;Bernardo Arellano;August 21, 2020
2107;TV Show;Hoops;;August 21, 2020
2108;TV Show;Rust Valley Restorers;;August 21, 2020
2109;Movie;The Sleepover;Trish Sie;August 21, 2020
2110;TV Show;Goedam;Hong Won-ki;August 20, 2020
2111;Movie;John Was Trying to Contact Aliens;;August 20, 2020
2112;Movie;Scarecrow;Khaled Marei;August 20, 2020
2113;Movie;The Crimes That Bind;Sebastián Schindel;August 20, 2020
2114;TV Show;DeMarcus Family Rules;;August 19, 2020
2115;TV Show;High Score;;August 19, 2020
2116;Movie;Little Singham: Kaal Ka Badla;Prakash Satam;August 19, 2020
2117;Movie;Drunk Parents;Fred Wolf;August 18, 2020
2118;Movie;Meet the In-Laws;Niyi Akinmolayan;August 18, 2020
2119;Movie;Crazy Awesome Teachers;Sammaria Sari Simanjuntak;August 17, 2020
2120;TV Show;Glitch Techs;;August 17, 2020
2121;Movie;Islands of Faith;Chairun Nissa;August 17, 2020
2122;Movie;Les Misérables;Tom Hooper;August 16, 2020
2123;Movie;Seventh Son;Sergei Bodrov;August 16, 2020
2124;TV Show;Stranger;;August 16, 2020
2125;TV Show;Dérè: An African Tale;;August 15, 2020
2126;TV Show;Rita;;August 15, 2020
2127;TV Show;Takki;;August 15, 2020
2128;Movie;What's Your Raashee?;Ashutosh Gowariker;August 15, 2020
2129;TV Show;3%;;August 14, 2020
2130;Movie;Beyond the Boundary: ICC Women's T20 World Cup Australia 2020;Anna Stone;August 14, 2020
2131;Movie;Fearless;Cory Edwards;August 14, 2020
2132;Movie;Nigerian Prince;Faraday Okoro;August 14, 2020
2133;Movie;Octonauts & the Caves of Sac Actun;Blair Simmons;August 14, 2020
2134;Movie;Project Power;Henry Joost, Ariel Schulman;August 14, 2020
2135;TV Show;Teenage Bounty Hunters;;August 14, 2020
2136;TV Show;The Great Heist;;August 14, 2020
2137;TV Show;The Legend of Korra;;August 14, 2020
2138;TV Show;Zoids Wild;;August 14, 2020
2139;Movie;An Easy Girl;Rebecca Zlotowski;August 13, 2020
2140;Movie;Christine;Antonio Campos;August 13, 2020
2141;Movie;Simon Killer;Antonio Campos;August 13, 2020
2142;TV Show;(Un)Well;;August 12, 2020
2143;Movie;Gunjan Saxena: The Kargil Girl;Sharan Sharma;August 12, 2020
2144;Movie;Mr. Peabody & Sherman;Rob Minkoff;August 11, 2020
2145;Movie;Rob Schneider: Asian Momma, Mexican Kids;Tyler Spindel;August 11, 2020
2146;TV Show;GAME ON: A Comedy Crossover Event;;August 10, 2020
2147;TV Show;Terrace House: Tokyo 2019-2020;;August 10, 2020
2148;Movie;The Lost Husband;Vicky Wight;August 10, 2020
2149;Movie;Diamonds in the Sky;Kunle Afolayan;August 8, 2020
2150;TV Show;The Governor;;August 8, 2020
2151;Movie;We Summon the Darkness;Marc Meyers;August 8, 2020
2152;Movie;Berlin, Berlin: Lolle on the Run;Franziska Meyer Price;August 7, 2020
2153;TV Show;High Seas;;August 7, 2020
2154;TV Show;Selling Sunset;;August 7, 2020
2155;TV Show;Sing On! Germany;;August 7, 2020
2156;Movie;Stars in the Sky: A Hunting Story;Steven Rinella;August 7, 2020
2157;Movie;The Magic School Bus Rides Again Kids In Space;Richard Weston;August 7, 2020
2158;TV Show;Tiny Creatures;;August 7, 2020
2159;TV Show;Wizards: Tales of Arcadia;;August 7, 2020
2160;TV Show;Word Party Songs;;August 7, 2020
2161;Movie;Work It;Laura Terruso;August 7, 2020
2162;TV Show;Ever After High;;August 6, 2020
2163;Movie;Nasha Natasha;Martín Sastre;August 6, 2020
2164;TV Show;The Rain;;August 6, 2020
2165;Movie;Anelka: Misunderstood;Franck Nataf;August 5, 2020
2166;Movie;Sin City;Pascal Amanfo;August 5, 2020
2167;TV Show;World's Most Wanted;;August 5, 2020
2168;Movie;A Go! Go! Cory Carson Summer Camp;Stanley Moore, Alex Woo;August 4, 2020
2169;Movie;Malibu Rescue: The Next Wave;Savage Steve Holland;August 4, 2020
2170;TV Show;Mystery Lab;;August 4, 2020
2171;Movie;Sam Jay: 3 In The Morning;Kristian Mercado;August 4, 2020
2172;TV Show;Immigration Nation;;August 3, 2020
2173;Movie;Almost Love;Mike Doyle;August 2, 2020
2174;Movie;Killing Hasselhoff;Darren Grant;August 1, 2020
2175;TV Show;Moesha;;August 1, 2020
2176;TV Show;My Perfect Landing;;August 1, 2020
2177;TV Show;Nagi-Asu: A Lull in the Sea;;August 1, 2020
2178;Movie;Rogue Warfare: The Hunt;Mike Gunther;August 1, 2020
2179;Movie;Super Monsters: The New Class;Steve Ball;August 1, 2020
2180;TV Show;The Next Step;;August 1, 2020
2181;Movie;The Ottoman Lieutenant;Joseph Ruben;August 1, 2020
2182;TV Show;Toradora!;;August 1, 2020
2183;TV Show;Transformers Rescue Bots Academy;;August 1, 2020
2184;Movie;Tumi or not Tumi;Mfanelo Ngoma;August 1, 2020
2185;Movie;What Keeps You Alive;Colin Minihan;August 1, 2020
2186;TV Show;Get Even;;July 31, 2020
2187;Movie;Latte and the Magic Waterstone;Regina Welker, Nina Wels;July 31, 2020
2188;Movie;Raat Akeli Hai;Honey Trehan;July 31, 2020
2189;Movie;Seriously Single;Katleho Ramaphakela, Rethabile Ramaphakela;July 31, 2020
2190;Movie;Sugar High;Ariel Boles;July 31, 2020
2191;TV Show;Sugar Rush;;July 31, 2020
2192;TV Show;The Umbrella Academy;;July 31, 2020
2193;Movie;Retablo;Álvaro Delgado-Aparicio L.;July 30, 2020
2194;TV Show;Transformers: War For Cybertron Trilogy;;July 30, 2020
2195;Movie;Uma Maheswara Ugra Roopasya;Venkatesh Maha;July 30, 2020
2196;TV Show;Unlucky Ploy;Nopparoj Chotmunkongsit;July 30, 2020
2197;Movie;It's Her Day;Aniedi Anwah;July 29, 2020
2198;Movie;Redemption;Mickey Fonseca;July 29, 2020
2199;Movie;Shine Your Eyes;Matias Mariani;July 29, 2020
2200;Movie;The Hater;Jan Komasa;July 29, 2020
2201;Movie;The Speed Cubers;Sue Kim;July 29, 2020
2202;Movie;Tread;Paul Solet;July 29, 2020
2203;TV Show;Last Chance U;;July 28, 2020
2204;Movie;Banana Split;Ben Kasulke;July 26, 2020
2205;TV Show;Shameless (U.S.);;July 26, 2020
2206;Movie;Door Ke Darshan;Gagan Puri;July 25, 2020
2207;Movie;Double World;Teddy Chan;July 25, 2020
2208;Movie;Project Marathwada;Bhavin Wadia;July 25, 2020
2209;Movie;Animal Crackers;Tony Bancroft, Scott Christian Sava;July 24, 2020
2210;Movie;Dragons: Rescue Riders: Secrets of the Songwing;Greg Rankin, TJ Sullivan;July 24, 2020
2211;Movie;Nimbe;Tope Alake;July 24, 2020
2212;Movie;Offering to the Storm;Fernando González Molina;July 24, 2020
2213;Movie;Romance Doll;Yuki Tanada;July 24, 2020
2214;TV Show;Sing On! Spain;;July 24, 2020
2215;Movie;The Kissing Booth 2;Vince Marcello;July 24, 2020
2216;TV Show;Sinatra: All or Nothing at All;Alex Gibney;July 23, 2020
2217;Movie;The Larva Island Movie;Ahn Byoung-wook;July 23, 2020
2218;Movie;The Letter Reader;Sibusiso Khuzwayo;July 23, 2020
2219;TV Show;Fear City: New York vs The Mafia;;July 22, 2020
2220;TV Show;Norsemen;;July 22, 2020
2221;Movie;The Remix: Hip Hop X Fashion;Lisa Cortés, Farah X;July 22, 2020
2222;Movie;Ip Man 4: The Finale;Wilson Yip;July 21, 2020
2223;Movie;Jack Whitehall: I'm Only Joking;Dave Skinner, Freddie Waters;July 21, 2020
2224;TV Show;Street Food: Latin America;;July 21, 2020
2225;TV Show;Killer Women with Piers Morgan;;July 19, 2020
2226;Movie;Funan;Denis Do;July 18, 2020
2227;TV Show;Gigantosaurus;;July 18, 2020
2228;TV Show;Single Wives;;July 18, 2020
2229;TV Show;Cursed;;July 17, 2020
2230;Movie;Father Soldier Son;Leslye Davis, Catrin Einhorn;July 17, 2020
2231;TV Show;In The Dark;;July 17, 2020
2232;TV Show;Kissing Game;;July 17, 2020
2233;Movie;The Millions;Toka McBaror, Tunde Apalowo;July 17, 2020
2234;Movie;Fatal Affair;Peter Sullivan;July 16, 2020
2235;Movie;MILF;Axelle Laffont;July 16, 2020
2236;Movie;Cold Feet;Moses Inwang;July 15, 2020
2237;TV Show;Dark Desire;;July 15, 2020
2238;Movie;Little Singham: Legend of Dugabakka;;July 15, 2020
2239;TV Show;Skin Decision: Before and After;;July 15, 2020
2240;TV Show;Sunny Bunnies;;July 15, 2020
2241;Movie;Sylvia;Daniel Oriahi;July 15, 2020
2242;Movie;The Players;Stefano Mordini;July 15, 2020
2243;TV Show;The Business of Drugs;;July 14, 2020
2244;Movie;Urzila Carlson: Overqualified Loser;Hayden Guppy;July 14, 2020
2245;Movie;We Are One;Stéphane de Freitas;July 14, 2020
2246;Movie;Hole in the Wall;André Odendaal, Johan Vorster;July 11, 2020
2247;TV Show;Dating Around: Brazil;Cassia Dian;July 10, 2020
2248;TV Show;Down to Earth with Zac Efron;;July 10, 2020
2249;Movie;Mama's Boy;Amro Salah;July 10, 2020
2250;Movie;The Claudia Kishi Club;Sue Ding;July 10, 2020
2251;TV Show;The Epic Tales of Captain Underpants in Space;;July 10, 2020
2252;Movie;The Old Guard;Gina Prince-Bythewood;July 10, 2020
2253;TV Show;The Twelve;Wouter Bouvijn;July 10, 2020
2254;Movie;Your Excellency;Funke Akindele;July 10, 2020
2255;TV Show;Japan Sinks: 2020;;July 9, 2020
2256;TV Show;The Protector;;July 9, 2020
2257;TV Show;Was It Love?;;July 9, 2020
2258;Movie;Born Racer;Bryn Evans;July 8, 2020
2259;Movie;Mucho Mucho Amor: The Legend of Walter Mercado;Cristina Costantini, Kareem Tabsch;July 8, 2020
2260;TV Show;Stateless;;July 8, 2020
2261;Movie;The Long Dumb Road;Hannah Fidell;July 8, 2020
2262;Movie;Dr. Seuss' The Lorax;Chris Renaud, Kyle Balda;July 7, 2020
2263;Movie;Jim Jefferies: Intolerant;Scott Zabielski;July 7, 2020
2264;Movie;A Kid from Coney Island;Coodie, Chike;July 6, 2020
2265;Movie;PNL - Dans la légende tour;QLF;July 6, 2020
2266;Movie;Aiyyaa;Sachin Kundalkar;July 5, 2020
2267;Movie;Bbuddah Hoga Terra Baap;Puri Jagannadh;July 5, 2020
2268;Movie;Blood Money;Vishal Mahadkar;July 5, 2020
2269;Movie;Bombay Talkies;Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar;July 5, 2020
2270;Movie;Boss;Anthony D'Souza;July 5, 2020
2271;Movie;Budhia Singh: Born to Run;Soumendra Padhi;July 5, 2020
2272;Movie;Chashme Baddoor;David Dhawan;July 5, 2020
2273;Movie;Dharam Sankat Mein;Fuwad Khan;July 5, 2020
2274;Movie;Drishyam;Nishikant Kamat;July 5, 2020
2275;Movie;Gabbar Is Back;Krish;July 5, 2020
2276;Movie;Gollu Aur Pappu;Kabir Sadanand;July 5, 2020
2277;TV Show;Hook;Rachit Kusonkoonsiri;July 5, 2020
2278;Movie;Inkaar;Sudhir Mishra;July 5, 2020
2279;Movie;Madras Café;Shoojit Sircar;July 5, 2020
2280;Movie;Mary Kom;Omung Kumar;July 5, 2020
2281;Movie;Michael;Ribhu Dasgupta;July 5, 2020
2282;Movie;Mumbai Delhi Mumbai;Satish Rajwade;July 5, 2020
2283;Movie;Oh My God;Umesh Shukla;July 5, 2020
2284;Movie;One by Two;Devika Bhagat;July 5, 2020
2285;Movie;Only;Takashi Doscher;July 5, 2020
2286;Movie;Penalty;Shubham Singh;July 5, 2020
2287;Movie;Players;Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla;July 5, 2020
2288;Movie;Pyaar Ka Punchnama 2;Luv Ranjan;July 5, 2020
2289;Movie;Queen;Vikas Bahl;July 5, 2020
2290;Movie;Shaitan;Bejoy Nambiar;July 5, 2020
2291;Movie;Special 26;Neeraj Pandey;July 5, 2020
2292;Movie;Tanu Weds Manu;Aanand Rai;July 5, 2020
2293;Movie;What the Fish;Gurmmeet Singh;July 5, 2020
2294;TV Show;Little Singham;;July 4, 2020
2295;TV Show;Cable Girls;;July 3, 2020
2296;Movie;Desperados;LP;July 3, 2020
2297;Movie;Hunter in the Blue Side of Manchester;Rako Prijanto;July 3, 2020
2298;Movie;I Am Not Your Negro;Raoul Peck;July 3, 2020
2299;TV Show;JU-ON: Origins;;July 3, 2020
2300;TV Show;Southern Survival;;July 3, 2020
2301;TV Show;The Baby-Sitters Club;;July 3, 2020
